путь,категории_ПДн,количество_находок,УЗ,формат_файла
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\DGTU-conference-programm.rtf,обычные:1,1,УЗ-4,rtf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_203.html,"обычные:10, государственные:2, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_405.html,"обычные:47, государственные:3, специальные:1",51,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_281.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_63.html,"обычные:11, государственные:2, специальные:1",14,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_286.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_184.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_233.html,"обычные:10, государственные:1, специальные:1",12,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_379.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_26.html,обычные:1,1,УЗ-4,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\formo.rtf,обычные:1,1,УЗ-4,rtf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_315.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_227.html,"обычные:10, государственные:1, специальные:1",12,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_82.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_357.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_372.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\GenerationS-info.rtf,обычные:1,1,УЗ-4,rtf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_166.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_157.html,нет,0,нет ПДн,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_60.html,обычные:1,1,УЗ-4,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_27.html,нет,0,нет ПДн,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_435.html,"обычные:30, государственные:7, специальные:1",38,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_473.html,"обычные:26, государственные:1, специальные:1",28,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\page_475.html,"обычные:11, государственные:1, специальные:1",13,УЗ-1,html
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\sved_o_d_g_2015.xls,"обычные:7, специальные:1",8,УЗ-1,xls
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Prikaz_П1203.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\prikaz_N_1022_ot_21.11.2018_.pdf,нет,0,нет ПДн,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\121793_original.gif,нет,0,нет ПДн,gif
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Course%20syllabus%20sample%20(INTERNATIONAL%20STANDARDS%20FOR%20INTELLECTUAL%20-%20%D0%90%D1%80%D0%B7%D1%83%D0%BC%D0%B0%D0%BD%D1%8F%D0%BD)%20%E2%80%94%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.pdf,обычные:1,1,УЗ-4,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\Главный бухгалтер сведения в рамках декларационной кампании.xls,"обычные:3, специальные:1",4,УЗ-1,xls
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Прочее\41.04.05_International_Communication.pdf,"обычные:5, специальные:1",6,УЗ-1,pdf
c:\Users\rulan\Downloads\SamsungHacaton\data\share\Выгрузки\Сайты\0.gif,нет,0,нет ПДн,gif
